Index;Text;Cause;Effect;Offset_Sentence2;Offset_Sentence3;Cause_Start;Cause_End;Effect_Start;Effect_End;Sentence
0003.00015;After $0.46 actual EPS reported by Sabra Health Care REIT, Inc. for the previous quarter, Wall Street now forecasts 2.17% EPS growth.;After $0.46 actual EPS reported by Sabra Health Care REIT, Inc. for the previous quarter;Wall Street now forecasts 2.17% EPS growth.;;;0;88;90;133;<e1>After $0.46 actual EPS reported by Sabra Health Care REIT, Inc. for the previous quarter</e1>, <e2>Wall Street now forecasts 2.17% EPS growth.</e2>
0003.00038;It also reduced its holding in Qualcomm Inc. (NASDAQ:QCOM) by 24,294 shares in the quarter, leaving it with 158,167 shares, and cut its stake in Wells Fargo& Co (New) (NYSE:WFC).;It also reduced its holding in Qualcomm Inc.;(NASDAQ:QCOM) by 24,294 shares in the quarter, leaving it with 158,167 shares, and cut its stake in Wells Fargo& Co (New) (NYSE:WFC).;44.0;;0;44;45;178;<e1>It also reduced its holding in Qualcomm Inc.</e1> <e2>(NASDAQ:QCOM) by 24,294 shares in the quarter, leaving it with 158,167 shares, and cut its stake in Wells Fargo& Co (New) (NYSE:WFC).</e2>
0005.00003;Laurel Wealth Advisors LLC increased its holdings in iShares US Preferred Stock ETF by 75.0% in the 1st quarter. Laurel Wealth Advisors LLC now owns 700 shares of the company's stock worth $26,000 after buying an additional 300 shares during the period.;Laurel Wealth Advisors LLC increased its holdings in iShares US Preferred Stock ETF by 75.0% in the 1st quarter.;Laurel Wealth Advisors LLC now owns 700 shares of the company's stock worth $26,000 after buying an additional 300 shares during the period.;112.0;;0;112;113;253;<e1>Laurel Wealth Advisors LLC increased its holdings in iShares US Preferred Stock ETF by 75.0% in the 1st quarter.</e1> <e2>Laurel Wealth Advisors LLC now owns 700 shares of the company's stock worth $26,000 after buying an additional 300 shares during the period.</e2>
0007.00001.1;iShares S&P Mid-Cap 400 Value ETF (NYSEARCA:IJJ) declared a  -  dividend on Tuesday, September 24th, Wall Street Journal reports. Shareholders of record on Wednesday, September 25th will be given a dividend of 0.7434 per share on Monday, September 30th. This represents a yield of 1.7%.;iShares S&P Mid-Cap 400 Value ETF (NYSEARCA:IJJ) declared a  -  dividend on Tuesday, September 24th, Wall Street Journal reports.;Shareholders of record on Wednesday, September 25th will be given a dividend of 0.7434 per share on Monday, September 30th.;129.0;253.0;0;129;130;253;<e1>iShares S&P Mid-Cap 400 Value ETF (NYSEARCA:IJJ) declared a  -  dividend on Tuesday, September 24th, Wall Street Journal reports.</e1> <e2>Shareholders of record on Wednesday, September 25th will be given a dividend of 0.7434 per share on Monday, September 30th.</e2> This represents a yield of 1.7%.
0007.00001.2;iShares S&P Mid-Cap 400 Value ETF (NYSEARCA:IJJ) declared a  -  dividend on Tuesday, September 24th, Wall Street Journal reports. Shareholders of record on Wednesday, September 25th will be given a dividend of 0.7434 per share on Monday, September 30th. This represents a yield of 1.7%.;iShares S&P Mid-Cap 400 Value ETF (NYSEARCA:IJJ) declared a  -  dividend on Tuesday, September 24th, Wall Street Journal reports.;This represents a yield of 1.7%.;129.0;253.0;0;129;254;286;<e1>iShares S&P Mid-Cap 400 Value ETF (NYSEARCA:IJJ) declared a  -  dividend on Tuesday, September 24th, Wall Street Journal reports.</e1> Shareholders of record on Wednesday, September 25th will be given a dividend of 0.7434 per share on Monday, September 30th. <e2>This represents a yield of 1.7%.</e2>
0007.00003;IJJ traded down $2.57 during trading on Tuesday, hitting $158.26. 89,200 shares of the company's stock were exchanged, compared to its average volume of 108,052.;IJJ traded down $2.57 during trading on Tuesday;hitting $158.26.;;;0;47;49;65;<e1>IJJ traded down $2.57 during trading on Tuesday</e1>, <e2>hitting $158.26.</e2> 89,200 shares of the company's stock were exchanged, compared to its average volume of 108,052.
0009.00005;If we get the tax structure right, this will … create thousands of jobs … help fund the State's capital plan … and stop the flow of over $200 million in gaming revenue to Indiana.;If we get the tax structure right, this will;create thousands of jobs … help fund the State's capital plan … and stop the flow of over $200 million in gaming revenue to Indiana.;;;0;44;47;179;<e1>If we get the tax structure right, this will</e1> … <e2>create thousands of jobs … help fund the State's capital plan … and stop the flow of over $200 million in gaming revenue to Indiana.</e2>
0010.00008;Losses at its Car Store segment widened to 19.1 million pounds. To revive its loss-making Car Store unit, Pendragon said it will shut 22 of 34 store locations identified as the worst performing in the second half of the year, leading to 300 job cuts.;Losses at its Car Store segment widened to 19.1 million pounds.;To revive its loss-making Car Store unit, Pendragon said it will shut 22 of 34 store locations identified as the worst performing in the second half of the year, leading to 300 job cuts.;63.0;;0;63;64;250;<e1>Losses at its Car Store segment widened to 19.1 million pounds.</e1> <e2>To revive its loss-making Car Store unit, Pendragon said it will shut 22 of 34 store locations identified as the worst performing in the second half of the year, leading to 300 job cuts.</e2>
0012.00024;Euro exchange rate (EUR/CHF): on January 15, 2015, at 9:30 a.m. GMT, the SNB abandoned its floor on the EUR/CHF exchange rate via a surprise press release. The announcement shocked the FX market - EUR/CHF dropped 12.3 percent over the next few hours.;Euro exchange rate (EUR/CHF): on January 15, 2015, at 9:30 a.m. GMT, the SNB abandoned its floor on the EUR/CHF exchange rate via a surprise press release.;The announcement shocked the FX market - EUR/CHF dropped 12.3 percent over the next few hours.;155.0;;0;155;156;250;<e1>Euro exchange rate (EUR/CHF): on January 15, 2015, at 9:30 a.m. GMT, the SNB abandoned its floor on the EUR/CHF exchange rate via a surprise press release.</e1> <e2>The announcement shocked the FX market - EUR/CHF dropped 12.3 percent over the next few hours.</e2>
0013.00004;Many of Tunisia's sacred cows have fallen, from technocrat Prime Minister Youssef Chahed to Defense Minister Abdelkarim Zbidi and moderate Islamist Ennahda's Abdelfattah Mourou, all of whom are perceived as having presided over the country's gradual decline and fall.   I want the government to provide jobs and money to young people for projects, said Khalil Mlouki, a univeristy graduate who was among the 54% of Tunisians to withhold their vote.;Many of Tunisia's sacred cows have fallen, from technocrat Prime Minister Youssef Chahed to Defense Minister Abdelkarim Zbidi and moderate Islamist Ennahda's Abdelfattah Mourou, all of whom are perceived as having presided over the country's gradual decline and fall.;I want the government to provide jobs and money to young people for projects, said Khalil Mlouki, a univeristy graduate who was among the 54% of Tunisians to withhold their vote.;267.0;;0;267;270;448;<e1>Many of Tunisia's sacred cows have fallen, from technocrat Prime Minister Youssef Chahed to Defense Minister Abdelkarim Zbidi and moderate Islamist Ennahda's Abdelfattah Mourou, all of whom are perceived as having presided over the country's gradual decline and fall.</e1>   <e2>I want the government to provide jobs and money to young people for projects, said Khalil Mlouki, a univeristy graduate who was among the 54% of Tunisians to withhold their vote.</e2>
